"Latest: Time (s)";"Latest: Pressure (kPa)"
0;101,166825531
1;101,166825531
2;101,166825531
3;101,166825531
4;101,166825531
5;102,385879923
6;106,579584835
7;106,70582995
8;106,776842827
9;106,839965385
10;106,96226534
11;107,088510455
12;107,277878127
13;107,404123242
14;107,593490914
15;107,782858587
16;107,972226259
17;108,161593932
18;108,327290645
19;108,540329277
20;108,729696949
21;108,883558183
22;109,076871015
23;109,293854806
24;109,483222479
25;109,621303073
26;109,846177184
27;110,051325496
28;110,224912529
29;110,441896321
30;110,623373673
31;110,808796186
32;111,065231576
33;111,254599248
34;111,416350802
35;111,601773314
36;111,814811946
37;111,96867318
38;112,158040852
39;112,382914963
40;112,536776197
41;112,730089029
42;112,95101798
43;113,108824374
44;113,321863005
45;113,511230678
46;113,70848867
47;113,893911183
48;114,059607896
49;114,272646527
50;114,4620142
51;114,588259315
52;114,761846348
53;114,95910434
54;115,156362332
55;115,310223566
56;115,511426718
57;115,661342792
58;115,850710464
59;115,980900739
60;116,166323252
61;116,351745764
62;116,541113437
63;116,730481109
64;116,884342343
65;117,046093896
66;117,255187368
67;117,424829241
68;117,614196914
69;117,740442029
70;117,929809701
71;118,095506415
72;118,276983767
73;118,442680481
74;118,557090116
75;118,746457789
76;118,991057699
77;119,125193133
78;119,314560806
79;119,472367199
80;119,634118753
81;119,768254188
82;119,945786381
83;120,083866975
84;120,20222177
85;120,324521725
86;120,513889398
87;120,640134513
88;120,809776386
89;120,95180214
90;121,078047255
91;121,224018169
92;121,362098764
93;121,496234199
94;121,646150273
95;121,756614748
96;121,898640502
97;121,96176306
98;122,151130732
99;122,277375847
100;122,407566122
101;122,486469319
102;122,656111192
103;122,782356307
104;122,845478865
105;123,026956217
106;123,141365853
107;123,267610968
108;123,385965763
109;123,45697864
110;123,567443116
111;123,666072112
112;123,819933346
113;123,863330104
114;124,032971977
115;124,103984854
116;124,230229969
117;124,340694445
118;124,419597642
119;124,545842757
120;124,636581433
121;124,735210429
122;124,798332987
123;124,924578101
124;124,999536138
125;125,113945774
126;125,232300569
127;125,303313446
128;125,425613401
129;125,488735959
130;125,614981074
131;125,678103631
132;125,741226189
133;125,867471304
134;125,930593861
135;125,993716419
136;126,119961534
137;126,183084091
138;126,250151808
139;126,364561444
140;126,376396923
141;126,498696879
142;126,561819436
143;126,688064551
144;126,743296789
145;126,889267703
146;127,003677338
147;127,066799896
148;127,114141814
149;127,193045011
150;127,319290126
151;127,350851404
152;127,382412683
153;127,508657798
154;127,571780356
155;127,575725515
156;127,634902913
157;127,71775127
158;127,820325426
159;127,883447983
160;127,946570541
161;127,946570541
162;128,072815656
163;128,128047893
164;128,155664012
165;128,199060771
166;128,262183328
167;128,325305886
168;128,388428443
169;128,451551
170;128,514673558
171;128,514673558
172;128,625138034
173;128,70404123
174;128,70404123
175;128,767163788
176;128,830286345
177;128,893408903
178;128,95653146
179;128,95653146
180;129,019654018
181;129,082776575
182;129,102502374
183;129,20902169
184;129,264253928
185;129,272144248
186;129,335266805
187;129,398389363
188;129,398389363
189;129,46151192
190;129,524634478
191;129,587757035
192;129,591702195
193;129,650879593
194;129,650879593
195;129,71400215
196;129,777124707
197;129,840247265
198;129,840247265
199;129,903369822
200;129,96649238
201;129,96649238
202;129,96649238
203;130,029614937
204;130,088792335
205;130,151914892
206;130,151914892
207;130,21503745
208;130,21503745
209;130,234763249
210;130,278160007
211;130,341282565
212;130,380734163
213;130,404405122
214;130,404405122
215;130,46752768
216;130,530650237
217;130,530650237
218;130,530650237
219;130,593772795
220;130,633224393
221;130,656895352
222;130,71212759
223;130,72001791
224;130,72001791
225;130,783140467
226;130,787085627
227;130,846263025
228;130,846263025
229;130,846263025
230;130,909385582
231;130,940946861
232;130,97250814
233;131,027740377
234;131,027740377
235;131,027740377
236;131,035630697
237;131,098753255
238;131,098753255
239;131,098753255
240;131,102698414
241;131,161875812
242;131,161875812
243;131,22499837
244;131,22499837
245;131,22499837
246;131,22499837
247;131,288120927
248;131,288120927
249;131,299956407
250;131,351243485
251;131,351243485
252;131,363078964
253;131,414366042
254;131,414366042
255;131,414366042
256;131,441982161
257;131,477488599
258;131,477488599
259;131,532720837
260;131,540611157
261;131,540611157
262;131,540611157
263;131,580062755
264;131,603733714
265;131,603733714
266;131,666856272
267;131,666856272
268;131,666856272
269;131,666856272
270;131,666856272
271;131,666856272
272;131,678691751
273;131,729978829
274;131,729978829
275;131,729978829
276;131,793101387
277;131,793101387
278;131,757594948
279;131,761540108
280;131,793101387
281;131,820717506
282;131,856223944
283;131,856223944
284;131,903565862
285;131,919346502
286;131,919346502
287;131,919346502
288;131,923291662
289;131,931181981
290;131,982469059
291;131,982469059
292;131,982469059
293;131,982469059
