Year,P1,P2,P3,P4,P5,P6
1984,4.557,3.214,1.583,4.453,2.531,1.469
1985,4.086,3.742,0.785,2.411,1.847,2.019
1986,3.833,4.052,0.871,3.281,4.152,1.948
1987,3.464,4.705,2.156,3.523,4.249,1.827
1988,3.948,3.228,1.731,2.332,3.321,0.634
1989,3.038,4.227,1.337,3.99,3.808,2.526
1990,2.877,3.542,2.091,2.955,4.195,1.503
1991,3.798,4.221,2.558,3.128,3.801,1.808
1992,3.649,2.963,1.903,3.5,0.757,2.254
1993,2.027,1.932,1.131,2.303,3.383,1.816
1994,2.561,5.003,3.932,3.343,3.221,2.091
1995,5.056,1.709,3.126,4.592,3.41,1.058
1996,3.175,2.031,2.399,2.12,0.493,2.243
1997,2.476,3.898,1.778,3.743,3.354,0.815
1998,3.205,2.735,1.761,3.463,2.931,0.678
1999,4.298,1.671,1.584,2.809,1.811,1.151
2000,4.095,2.768,0.655,3.182,1.633,1.05
2001,3.645,1.55,0.877,3.233,2.729,0.778
2002,3.449,3.557,0.591,3.896,2.267,0.409
2003,3.558,2.304,0.405,4.632,1.613,0.578
2004,4.603,2.761,1.012,4.08,2.512,1.257
2005,2.614,3.051,0.912,3.758,2.17,1.345
2006,5.614,1.833,0.659,4.998,1.183,0.187
2007,3.383,2.519,0.304,5.681,1.898,0.152
2008,4.979,2.563,0.804,4.402,2.077,0.26
2009,4.804,3.71,1.019,2.915,2.474,0.168
2010,5.45,2.578,0.465,5.345,0.932,0.368
2011,5.348,0.654,1.055,4.069,3.259,0.318
2012,5.625,2.55,0.413,3.766,1.664,0.336
2013,4.108,2.526,0.786,5.442,2.452,0.296
2014,5.348,2.971,0.505,5.189,1.709,0.339
2015,4.307,1.359,0.653,4.794,1.513,0.355
2016,5.272,2.033,0.251,4.744,1.678,0.806
2017,5.943,2.304,0.042,5.029,0.969,0.294
2018,4.934,2.946,0.278,3.961,2.695,0.638
2019,5.179,2.399,0.572,3.736,3.567,0.403
2020,5.313,2.248,0.94,3.938,2.797,0.282
2021,4.394,0.375,0.372,3.817,2.152,0.481
2022,5.54,4.306,0.808,5.467,3.52,0.683
2023,5.845,3.162,1.256,4.717,2.417,0.275
2024,5.57,2.544,0.437,4.854,2.246,0.396
